loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisD[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], vbatLatest (V), amperageLatest (A), BaroAlt (cm), rssi, gyroADC[0] (deg/s), gyroADC[1] (deg/s), gyroADC[2] (deg/s), accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 45066148,  -1,   0,   6,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 13.475, 0, 511, 0.00, 0.00, -1.00,  59, 127, 1866, 155, 137, 137, 144, 0, 0, 0, IDLE, 0, 0
  1, 45067167,  -1,   0,   5,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 13.475, 0, 511, 0.00, 0.00, -1.00,  59, 127, 1867, 152, 137, 137, 146, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
  2, 45068185,  -1,   0,   4,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 13.475, 0, 511, 0.00, 0.00, -1.00,  59, 127, 1867, 147, 137, 137, 146, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
  3, 45069193,   0,   0,   3,   0,   0,   0,   0,  -1,   0,  -2,   0,   4, 1000, 1.453, 13.475, 0, 511, 0.00, 0.00, 0.00,  58, 127, 1867, 142, 137, 137, 147, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
  4, 45070208,   0,   0,   2,   0,   0,   0,   1,  -1,   0,  -2,   0,   4, 1000, 1.453, 13.475, 0, 511, 0.00, 0.00, 0.00,  57, 126, 1867, 139, 137, 137, 146, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
  5, 45071211,   0,   0,   1,   0,   0,   0,   1,   0,   0,  -2,   0,   4, 1000, 1.453, 13.475, 0, 511, -1.00, 0.00, 1.00,  57, 125, 1866, 138, 137, 137, 144, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
  6, 45072217,   0,   0,   1,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 13.475, 0, 511, 0.00, 0.00, 1.00,  57, 124, 1866, 139, 137, 137, 140, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
  7, 45073227,  -1,   0,   1,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 13.475, 0, 511, 0.00, 0.00, 1.00,  57, 123, 1866, 142, 138, 137, 137, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
  8, 45074240,  -1,   0,   1,   0,   0,   0,  -1,   0,   0,  -2,   0,   4, 1000, 1.453, 13.475, 0, 511, 0.00, 0.00, 1.00,  57, 123, 1865, 148, 137, 137, 137, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
  9, 45075255,  -1,   0,   2,   0,   0,   0,  -1,   1,   0,  -2,   0,   4, 1000, 1.453, 13.475, 0, 511, 0.00, 0.00, 0.00,  57, 123, 1865, 153, 137, 137, 137, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
 10, 45076270,  -1,   0,   4,   0,   0,   0,  -1,   1,   0,  -2,   0,   4, 1000, 1.453, 13.475, 0, 511, 0.00, 0.00, 0.00,  58, 124, 1864, 156, 137, 137, 137, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
 11, 45077292,  -1,   0,   5,   0,   0,   0,  -1,   1,   0,  -2,   0,   4, 1000, 1.453, 13.475, 0, 511, 0.00, 0.00, -1.00,  58, 125, 1864, 157, 137, 137, 139, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
 12, 45078470,  -1,   0,   6,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 13.475, 0, 511, 0.00, 0.00, -1.00,  58, 126, 1864, 158, 137, 137, 141, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
 13, 45079662,  -1,   0,   6,   0,   0,   0,   0,   0,   0,  -2,   0,   4, 1000, 1.453, 13.475, 0, 511, 0.00, 0.00, -1.00,  59, 127, 1863, 155, 137, 137, 143, 169, ANGLE_MODE, SMALL_ANGLE, IDLE, 1, 1
